right,up,right,left,right,down,left,left,down,left,right,up,down,right,down,down
right,up,right,left,right,down,left,left,down,left,right,up,down,right,down,down
left,up,left,left,right,left,up,up,down,down,no response,down,right,right,right,up
right,up,right,left,right,down,left,left,down,left,right,up,down,right,down,down
left,up,left,left,right,left,up,up,down,down,no response,down,right,right,right,up
up,up,right,right,up,right,down,down,left,left,right,down,down,up,left,left
right,up,right,left,right,down,left,left,down,left,right,up,down,right,down,down
left,up,left,left,right,left,up,up,down,down,no response,down,right,right,right,up
up,up,right,right,up,right,down,down,left,left,right,down,down,up,left,left
left,right,down,left,down,left,up,up,down,right,right,down,right,right,up,left
right,up,right,left,right,down,left,left,down,left,right,up,down,right,down,down
left,up,left,left,right,left,up,up,down,down,no response,down,right,right,right,up
up,up,right,right,up,right,down,down,left,left,right,down,down,up,left,left
left,right,down,left,down,left,up,up,down,right,right,down,right,right,up,left
up,right,right,up,down,down,up,right,down,left,left,left,right,left,down,up
right,up,right,left,right,down,left,left,down,left,right,up,down,right,down,down
left,up,left,left,right,left,up,up,down,down,no response,down,right,right,right,up
up,up,right,right,up,right,down,down,left,left,right,down,down,up,left,left
left,right,down,left,down,left,up,up,down,right,right,down,right,right,up,left
up,right,right,up,down,down,up,right,down,left,left,left,right,left,down,up
right,up,left,down,down,down,right,down,right,right,left,up,up,left,left,up
