filename,width,height,class,xmin,ymin,xmax,ymax
000000034212.jpg,612,612,banana,46.92,416.34,87.24,446.76
000000017953.jpg,640,427,apple,536.56,323.09,565.52,354.78
000000019028.jpg,428,640,apple,403.22,336.5,428,356.45
000000034212.jpg,612,612,apple,534.8,467.45,561.29,490.38
000000012326.jpg,640,427,banana,448.34,224.2,470.14,239.93
000000012326.jpg,640,427,apple,401.58,243.63,444.55,257.07
000000034212.jpg,612,612,orange,3.23,423.56,38.69,457.37
000000034212.jpg,612,612,orange,533.98,465.94,560.62,490.39
000000012326.jpg,640,427,orange,419.18,248.58,430.11,256.28
000000017953.jpg,640,427,apple,587.44,331.52,617.33,358.35
000000012754.jpg,640,640,apple,56.31,146.55,81.39,152.72
000000019028.jpg,428,640,apple,213.34,340.3,225.97,348.69
000000012754.jpg,640,640,apple,79.97,146.03,94.64,153.44
000000019028.jpg,428,640,apple,197.09,332.98,215.17,348.98
000000003067.jpg,640,480,apple,137.46,170.25,232.11,272.79
000000029465.jpg,640,428,apple,259.86,220.73,284.44,237.3
000000029465.jpg,640,428,apple,566.03,146.28,589.33,161.22
000000000715.jpg,640,480,banana,238.81,243.61,301.02,322.84
000000028864.jpg,500,384,banana,149.29,111.32,243.34,263.19
000000000715.jpg,640,480,banana,461.66,324.67,517.75,406.65
000000031796.jpg,640,480,banana,158.74,180.92,229.31,239.07
000000025316.jpg,640,480,banana,76.58,0,622.38,471.04
000000000715.jpg,640,480,banana,227.25,244.91,510.31,433.89
000000025521.jpg,640,480,banana,306.07,109.55,405.46,181.84
000000025521.jpg,640,480,banana,413.36,223.62,527.44,334.31
000000031796.jpg,640,480,apple,234.77,106.58,338.42,220.76
000000034915.jpg,414,500,apple,71.67,175.01,97.75,189.57
000000025316.jpg,640,480,apple,487.28,83.76,640,313.08
000000025316.jpg,640,480,apple,0,81.32,135.53,220.24
000000025316.jpg,640,480,apple,0,169.85,79.81,366.57
000000021397.jpg,640,429,orange,209.9,252.56,275.76,382.11
000000009077.jpg,640,427,orange,519.96,196.38,621.75,281.71
000000007913.jpg,500,375,orange,32.78,109.81,59.24,133.35
000000007913.jpg,500,375,orange,57.03,99.4,82.47,128.42
000000007913.jpg,500,375,orange,109.86,103.17,118.13,114.31
000000009077.jpg,640,427,orange,330.06,233.26,339.51,243.52
000000021397.jpg,640,429,orange,265.32,229.78,410.46,385.03
000000021397.jpg,640,429,orange,146.36,226.11,253.36,360.36
000000009077.jpg,640,427,orange,314.98,235.59,325.66,246.26
000000007913.jpg,500,375,orange,99.41,97.88,117.3,118.95
000000025521.jpg,640,480,banana,111.68,159.07,204.55,197.84
000000009077.jpg,640,427,banana,297.28,104.05,329.3,138.14
000000009077.jpg,640,427,banana,378.45,76.38,411.81,121.24
000000009077.jpg,640,427,banana,449.36,63.91,487.98,105.06
000000009077.jpg,640,427,banana,517.18,52.95,571.74,122.39
000000009077.jpg,640,427,banana,563.32,47.35,613.92,132.08
000000009077.jpg,640,427,banana,441.45,298.93,485.68,339.2
000000009077.jpg,640,427,banana,483.34,57.42,540.03,111.74
000000009077.jpg,640,427,banana,466.95,323.03,528.79,366.61
000000009077.jpg,640,427,banana,415.47,71.93,453.43,124.26
000000009077.jpg,640,427,banana,470.7,104.57,490.71,151.88
000000009077.jpg,640,427,banana,534.61,306.23,554.73,349.48
000000009077.jpg,640,427,banana,369.61,204.99,405.12,231.26
000000021397.jpg,640,429,apple,55.85,217.58,201.22,315.97
000000007913.jpg,500,375,apple,170.88,180.59,500,375
000000003742.jpg,640,480,apple,245.38,173.99,464.93,319.28
000000021397.jpg,640,429,apple,8.66,186.56,141.4,276.01
000000007913.jpg,500,375,apple,102.81,218.96,255.34,334.41
000000028864.jpg,500,384,apple,67.31,201.92,271.82,342.58
000000009077.jpg,640,427,apple,334.54,335.58,350.89,353.76
000000003742.jpg,640,480,apple,122.97,278.11,208.18,366.56
000000003742.jpg,640,480,apple,199.02,304.51,282.13,368.36
000000003742.jpg,640,480,apple,168.79,347.84,282.74,448.7
000000009077.jpg,640,427,apple,311.02,336.01,361.94,378.45
000000028864.jpg,500,384,apple,55.23,65.87,245.07,203.08
000000009077.jpg,640,427,apple,345.52,300.64,401.56,343.59
000000028864.jpg,500,384,apple,200.2,246.8,356.39,326.18
000000003742.jpg,640,480,apple,373.09,325.93,460.97,416.85
000000007913.jpg,500,375,apple,159.27,191.99,199.72,229.07
000000028864.jpg,500,384,apple,290.8,63.05,462.53,240.81
000000009077.jpg,640,427,apple,327.13,291.9,362.88,329.36
000000028864.jpg,500,384,apple,326.18,10.95,467.7,133.49
000000000715.jpg,640,480,apple,33.65,141.22,50.05,160.25
000000028864.jpg,500,384,apple,353.73,151.35,463.57,307.89
000000009077.jpg,640,427,apple,368.4,227.26,429.76,271.13
000000000715.jpg,640,480,apple,24.03,142.99,35.34,158.37
000000007913.jpg,500,375,apple,243.23,139.45,271.19,159.02
000000000715.jpg,640,480,apple,49.96,146.83,68.96,165.26
000000007913.jpg,500,375,apple,187.8,139.73,238.48,171.35
000000000715.jpg,640,480,apple,7.48,140.32,24.43,155.16
000000007913.jpg,500,375,apple,176.31,141.74,191.93,156.6
000000028864.jpg,500,384,apple,88.88,289.94,326.18,347.76
000000007913.jpg,500,375,apple,125.85,162.2,154.33,185.15
000000007913.jpg,500,375,apple,346.65,147.8,382.68,175.15
