time,num_instructions,condition,block,success
6.648161099999996,3,3,1,auditory,success
6.455232600000002,3,2,1,auditory,success
6.156571700000001,3,7,1,auditory,success
0.12251240000000507,1,5,1,auditory,success
4.328025300000007,2,6,1,auditory,success
4.877280299999995,2,4,1,auditory,success
5.32971280000001,3,9,1,auditory,success
7.135397299999994,3,1,1,auditory,success
3.3927540999999906,2,8,1,auditory,success
5.569922099999985,2,2,1,tactile,success
7.296198699999991,3,1,1,tactile,success
4.773751000000004,2,4,1,tactile,success
5.5806532,3,9,1,tactile,success
4.219471300000009,2,6,1,tactile,success
3.7611841000000084,2,8,1,tactile,success
6.771825999999976,3,3,1,tactile,success
5.818808799999999,3,7,1,tactile,success
0.10983199999998305,1,5,1,tactile,success
4.949376800000039,2,6,2,auditory,exFail
5.652983300000017,3,7,2,auditory,success
4.001690999999994,2,4,2,auditory,success
6.1789602999999715,4,1,2,auditory,exFail
4.349978599999986,2,2,2,auditory,success
5.483478400000024,3,9,2,auditory,success
0.11219770000002427,1,5,2,auditory,success
3.6593751999999995,2,8,2,auditory,success
6.194160099999976,3,3,2,auditory,success
4.06098529999997,2,rep_6,2,auditory,success
7.120154599999978,3,rep_1,2,auditory,success
4.944960299999991,2,2,2,tactile,success
0.1256410000000301,1,5,2,tactile,success
3.736704800000041,2,8,2,tactile,success
4.54206240000002,2,4,2,tactile,success
5.464281700000015,3,9,2,tactile,success
4.0190383999999995,2,6,2,tactile,success
6.037015499999995,3,3,2,tactile,success
7.496247800000049,3,1,2,tactile,success
5.884444299999927,3,7,2,tactile,success
7.4298281999999745,3,3,3,tactile,success
4.209183899999971,3,9,3,tactile,success
5.036360299999956,3,2,3,tactile,success
5.50313349999999,3,7,3,tactile,success
0.0756544999999278,1,5,3,tactile,success
4.181664899999987,2,4,3,tactile,success
6.493238599999927,3,1,3,tactile,success
3.734981199999993,2,8,3,tactile,success
4.148524300000076,2,6,3,tactile,success
5.364842700000054,3,9,3,auditory,success
5.136624400000073,3,7,3,auditory,success
0.06501980000007279,1,5,3,auditory,success
3.959051699999918,2,6,3,auditory,success
4.636149599999953,2,2,3,auditory,success
3.153119699999934,2,8,3,auditory,success
6.407300999999961,3,3,3,auditory,success
6.846119999999928,3,1,3,auditory,success
4.2121634000000086,2,4,3,auditory,success
