down,left,right,down,down,right,left,right,down,left,left,right,down,up,down,right
down,left,right,down,down,right,left,right,down,left,left,right,down,up,down,right
right,down,left,down,left,right,up,up,right,down,left,right,left,down,down,right
down,left,right,down,down,right,left,right,down,left,left,right,down,up,down,right
right,down,left,down,left,right,up,up,right,down,left,right,left,down,down,right
down,left,right,right,right,right,up,left,down,left,right,down,left,down,up,right
down,left,right,down,down,right,left,right,down,left,left,right,down,up,down,right
right,down,left,down,left,right,up,up,right,down,left,right,left,down,down,right
down,left,right,right,right,right,up,left,down,left,right,down,left,down,up,right
left,down,up,right,right,left,right,down,left,right,up,down,up,right,left,down
down,left,right,down,down,right,left,right,down,left,left,right,down,up,down,right
right,down,left,down,left,right,up,up,right,down,left,right,left,down,down,right
down,left,right,right,right,right,up,left,down,left,right,down,left,down,up,right
left,down,up,right,right,left,right,down,left,right,up,down,up,right,left,down
down,up,right,right,left,left,up,up,no response,left,down,up,down,right,left,right
down,left,right,down,down,right,left,right,down,left,left,right,down,up,down,right
right,down,left,down,left,right,up,up,right,down,left,right,left,down,down,right
down,left,right,right,right,right,up,left,down,left,right,down,left,down,up,right
left,down,up,right,right,left,right,down,left,right,up,down,up,right,left,down
down,up,right,right,left,left,up,up,no response,left,down,up,down,right,left,right
down,left,right,left,down,down,up,left,down,up,right,up,up,right,left,right
