time,num_instructions,location,block,condition,success
time,num_instructions,location,block,condition,success
time,num_instructions,location,block,condition,success
time,num_instructions,location,block,condition,success
time,num_instructions,location,block,condition,success
6.141920300000493,3,7,1,tactile,success
4.915784700000586,3,9,1,tactile,success
3.4227580999995553,2,2,1,tactile,success
1.7281396999997014,1,5,1,tactile,success
3.6103096999995614,2,2,1,tactile,success
1.6392875999999887,1,5,1,tactile,success
2.796678300000167,1,6,1,tactile,fail
4.172083499999644,2,2,1,tactile,success
4.858363100000133,3,3,1,tactile,success
time,num_instructions,location,block,condition,success
6.141920300000493,3,7,1,tactile,success
4.915784700000586,3,9,1,tactile,success
3.4227580999995553,2,2,1,tactile,success
1.7281396999997014,1,5,1,tactile,success
3.6103096999995614,2,2,1,tactile,success
1.6392875999999887,1,5,1,tactile,success
2.796678300000167,1,6,1,tactile,fail
4.172083499999644,2,2,1,tactile,success
4.858363100000133,3,3,1,tactile,success
6.813629799999944,3,9,2,tactile,success
3.736410700000306,3,9,2,tactile,success
3.1997811000001093,2,4,2,tactile,success
4.9482058000003235,3,9,2,tactile,success
3.8641766000000644,2,2,2,tactile,success
3.8930296999997154,2,4,2,tactile,fail
3.3130418999999165,2,8,2,tactile,success
4.557050299999901,3,3,2,tactile,success
3.2288838000004034,2,6,2,tactile,success
time,num_instructions,location,block,condition,success
6.141920300000493,3,7,1,tactile,success
4.915784700000586,3,9,1,tactile,success
3.4227580999995553,2,2,1,tactile,success
1.7281396999997014,1,5,1,tactile,success
3.6103096999995614,2,2,1,tactile,success
1.6392875999999887,1,5,1,tactile,success
2.796678300000167,1,6,1,tactile,fail
4.172083499999644,2,2,1,tactile,success
4.858363100000133,3,3,1,tactile,success
6.813629799999944,3,9,2,tactile,success
3.736410700000306,3,9,2,tactile,success
3.1997811000001093,2,4,2,tactile,success
4.9482058000003235,3,9,2,tactile,success
3.8641766000000644,2,2,2,tactile,success
3.8930296999997154,2,4,2,tactile,fail
3.3130418999999165,2,8,2,tactile,success
4.557050299999901,3,3,2,tactile,success
3.2288838000004034,2,6,2,tactile,success
4.79364970000006,3,1,3,tactile,success
3.399601199999779,2,6,3,tactile,success
3.3430076999993616,2,8,3,tactile,success
3.0059426999996504,2,8,3,tactile,success
1.6831620999992083,1,5,3,tactile,success
4.255715500000406,1,9,3,tactile,fail
3.1948654999996506,2,2,3,tactile,success
5.515707200000179,3,1,3,tactile,success
3.601710500000081,2,8,3,tactile,success
time,num_instructions,location,block,condition,success
6.141920300000493,3,7,1,tactile,success
4.915784700000586,3,9,1,tactile,success
3.4227580999995553,2,2,1,tactile,success
1.7281396999997014,1,5,1,tactile,success
3.6103096999995614,2,2,1,tactile,success
1.6392875999999887,1,5,1,tactile,success
2.796678300000167,1,6,1,tactile,fail
4.172083499999644,2,2,1,tactile,success
4.858363100000133,3,3,1,tactile,success
6.813629799999944,3,9,2,tactile,success
3.736410700000306,3,9,2,tactile,success
3.1997811000001093,2,4,2,tactile,success
4.9482058000003235,3,9,2,tactile,success
3.8641766000000644,2,2,2,tactile,success
3.8930296999997154,2,4,2,tactile,fail
3.3130418999999165,2,8,2,tactile,success
4.557050299999901,3,3,2,tactile,success
3.2288838000004034,2,6,2,tactile,success
4.79364970000006,3,1,3,tactile,success
3.399601199999779,2,6,3,tactile,success
3.3430076999993616,2,8,3,tactile,success
3.0059426999996504,2,8,3,tactile,success
1.6831620999992083,1,5,3,tactile,success
4.255715500000406,1,9,3,tactile,fail
3.1948654999996506,2,2,3,tactile,success
5.515707200000179,3,1,3,tactile,success
3.601710500000081,2,8,3,tactile,success
4.915693699999792,3,9,4,tactile,success
3.9082366000002366,2,4,4,tactile,success
2.7682765999998082,1,9,4,tactile,fail
1.898591099999976,1,5,4,tactile,success
5.782894699999815,3,1,4,tactile,success
5.1996345999996265,3,7,4,tactile,success
3.465317099999993,2,6,4,tactile,success
3.3376959000006536,2,8,4,tactile,success
5.727368799999567,3,1,4,tactile,success
time,num_instructions,location,block,condition,success
6.141920300000493,3,7,1,tactile,success
4.915784700000586,3,9,1,tactile,success
3.4227580999995553,2,2,1,tactile,success
1.7281396999997014,1,5,1,tactile,success
3.6103096999995614,2,2,1,tactile,success
1.6392875999999887,1,5,1,tactile,success
