Participant #,Sex,Age,Condition Order,Experimenter,Assistant Experimenter,Bracelet,Handedness,Ramon's Study?,Date of Session,Start Time of Session,End Time of Session,# of Localization Blocks (1-3),Final Localization Accuracy,Notes,Manual data cleaning
Trial 1,f,26,N/A,Piper,Milad,-,Left,No,20.02.2023,1004,1110,1,93,did not seem to map shelf,
Trial 2,f,22,N/A,Milad,Piper,-,Right,No,20.02.2023,1530,1834,1,100,,
Trial 3,f,29,N/A,Piper,Milad,-,Right,No,20.02.2023,1725,1828,1,100,,
,,,,,,,,,,,,,,,
1,f,25,AT,Milad,Piper,Black,Right,Yes,23.02.2023,1204,1314,1,91.6,"very small wrists, had difficulty with localizing motor directions, 
changed motor positions after blocks 2 and 3 tactile, 
program restarted after first block 2 (block 2 repeated) tactile, 
participant not told when made error",Tactile 2
2,m,25,TA,Piper,Milad,Black,Right,No,23.02.2023,1458,1553,1,100,Tactile Block 1 re-started ,Tactile 1
3,f,26,TA,Milad,Piper,White,Right,No,27.02.2023,1101,1217,1,100,"said blindfold stuffy, liked grapes, down command from
motor hard, said more intuitive to listen to verbal commands,
moved camera forward on helmet after 1.1 tactile,
readjusted motors after block 1 tactile",
4,f,28,AT,Piper,Milad,White,Left,No,27.02.2023,1549,1645,1,100,"Since the task requires atttention, if particpants are tired, the RT is higher. 
Some fruits required differnt grasping motion (for example, orange if the participants not carefull will fly away from position). 
Since the eyes are blindfolded, the participant reported that their sense of smell has been heightened (They could smell the 2nd experimenter's perfume!!!)
When in the right position to grasp fruit, it is much easier not to wait for command and just grasp but particpants were expliclty asked to wait, this took some controling. 
Some objects is easy to grasp than others (orange vs grapes)",Auditory
5,f,23,TA,Piper,Milad,Black,Right,No,03.01.2023,1000,1100,2,97.9,"first localization was 62% then other blocks were 100%. 
Experimenter mention there are three shelves. 
participant mention their arm positition is different in localization than shelves.
Reference point is ambiguis (the tape is the issue).
Particpants grapped the fruit before the command (this was mentioned to them to wait for the command)",
6,m,21,AT,Piper,Florian,White,Right,No,06.03.2023,1030,1120,1,100,"fruits were uncovered when P entered room, sometimes impatient (grabbing before command) - logged d when this happened if extreme, P looked confused by ""9 fruits, not all 9 fruits are located per block and sometimes repetitions"" --> rather not mention at all, fruits felt further apart in tactile condition than auditory",
7,f,23,AT,Florian,Piper,White,Right,No,08.03.2023,1002,1105,1 w/ extra trial (see notes),97.9/100 (with extra),"mentioned that the corner fruits lead to anticipated grasping (grasping always comes after max 2 commands), mentioned that left/right always proceeded up/down, ran extra localization trial (not full block, just the single trial) as moved the right motor following P's feedback, localization had to be restarted after first first trial due to operator error, one actual grasping round run in the example stim for grasping in tactile",only last 3 rows in localization
8,f,23,TA,Florian,Milad,Black,Right,No,08.03.2023,1530,1633,1,97.9,"in the tactile condition at the end of the blocks (6,7,8) Participants had problem distinguishing bottom and right. Tried to move the bracelt at the end on of block 7 but didn't change much.. It is probably due to fatique in the arm that participant had issues with right and bottom or the motors moved a bit! ",
9,m,24,AT,Florian,Piper,White,Right,No,10.03.2023,1031,1127,1,97.9,"stated is socially anxious and appeared so at first but relaxed and said was fine, right motor was close to the bottom by P's choice and later moved after TB1 but P continued having issues distinguishing R and D (esp. D and esp. when R had not occured in a while, by P's own report), anticipated grasping in T condition multiple times, said issues with R/D could be because outside of arm is less sensitive than inner side",
10,f,20,TA,Piper,Florian,Black,Right,Yes,10.03.2023,1430,1529,2,97.9,"E1 explained T condition with A instructions first but then re-explained; experimenter fail in second localization block and too low acc for first three blocks (89.58%); mostly confounded L with D instructions in tactile condition, less common R and U; restarted first block after 8 trials (4x f) and motor fell out in 8th trial",
11,m,21,AT,Piper,Milad,White,Right,No?,14.03.2023,1030,1128,2,95.8,"localization was ran 2 times, only trial 1 of bloack 1 was 68, but in the end they reached 95.8. Top motors being the issue in the localization (block 1 trials) and also tactile condition from block 6 onward distringuishing top with left command motors after already moved right -- position 1 (They moved briefly then they corrected and moved to right direction) ",
12,f (Gender: d),23,TA,Piper,Milad,Black,Right,No,14.03.2023,1502,1552,1,100,Technical issues --- restart the block 3 again in tactile condition. Black Belt might be the one whcih had issues with commands. This participants was generally fast. ,Tactile 3
13,f,21,AT,Piper,Florian,White,Right,No,16.03.2023,1031,1118,1,95.8,"sometimes grabs upper shelf after up command (as a hold), sometimes moving down after up command -> after block 3 the top motor was slightly adjusted to left and back -> ""shifting of upper motor helped a lot"", general note: going consistently faster inter-trials as E in T condition makes it easire for P to distinguish direction commands (shorter time span between commands)",
14,f,20,AT,Milad,Florian,White,Right,No,16.03.2023,1352,1448,1,100,"""my whole arm vibrates"" (rather a thinner arm), but localization task 100% -> continuous vibration pretty strong -> arm can basically go numb, natural movement cap is ends of shelf -> tactic if E slower than P: move quickly to end of shelf and move to fruit from there (because you learn distances between fruits)",
15,m,20,TA,Florian,Milad ,White,Right,No,20.03.2023,1006,1058,1,93.75,"In localization, first block there are two no-response and one wrong entry (2nd) by the experimenter. P felt the vibration was getting normal to them by the end of the tactile condition. ",
16,m,22,AT,Florian,Milad,White,Right,No?,20.03.2023,1356,1449,1,95.8,"in 2nd block of localization, left motors moved up a bit. They made some rare mistakes of moving into the wrong direction (this happened once or twice the whole exp)",
17,f,25,TA,Milad,Florian,White,Right,No,22.03.2023,1016,1110,1,100,"right motor further down in grasping task than in localization task because the hand is located higher in shelf than on desk, grapes were unexpected, ""[in the tactile condition] i have to translate the vibration cue into my own [up/down/left/right] words""",
18,f,27,AT,Milad ,Florian,White,Right,No,22.03.2023,1531,1630,1,100,"overshooting pos 4 and 6 seems normal for multiple participants (cannot happen for pos 2 & 8), for pos 4 & 6 it is not clear for a short duration whether grasping command is rather the up command, ""it was easy to find my way back to the middle [i.e., starting position]""",
19,f,20,TA,Florian,Milad,White,Right,No,24.03.2023,958,1049,1,100,"after block 1 tactcile, experimenter moved the braclet a bit to right then the example stimilus was presented. Program stopped functioning in block 7 last trial. Block 7 was ran again. At the end of the experimen, they mention it took them some time to realize to distinguish moving top to grasping command....since both vibration is top motor and one is continous and the other is in succession. ",Tactile 7
20,m,23,TA,Milad,Florian,White,Right,No,24.03.2023,1401,1503,1,100,"Block 4 in tactile restarted because program died after left -> down command (kept vibrating left), A(2, 5): careful movement to pos 9 (pear) because it flew away twice before, A(7, 9): after re-arranging fruits E1 started command but P was not ready yet -> s changed to d ",Tactile 4
