"Timestamp","I was in fear of hitting the shelf or objects during the task.","I felt secure during the task.","The tactile bracelet is comfortable to wear.","The vibration from tactile bracelet felt uncomfortable on my hand.","The vibration motors were positioned correctly on my arm.","I could feel the vibration cues on my wrist from the tactile bracelet.","The intensity of vibration varied strongly.","I found the vibration intensity to be consistent.","I could identify the vibration locations without much effort.","It was difficult for me to interpret the vibration cues from the tactile bracelet.","The practice trials were sufficient to get comfortable with using the tactile feedback.","I relied on the vibration signals from the tactile bracelet to grasp an object.","Mainly my intuition guided my hand movement during the task."," I felt confident using the tactile bracelet to locate and grasp an object.","I was able to develop a spatial understanding of the shelf.","I waited for instructions before reaching to grasp an object.","I was anticipating the grasping motion.","Please describe your general experience with the tactile bracelet itself. ","Please describe your general experience with the grasping task","Do you have any other comments for us?",""
"2023/01/19 6:50:25 pm EET","","","","","","","","","","","","","","","","","","","","",""
"2023/02/21 10:37:53 am EET","2","3","4","2","5","5","1","5","4","2","5","4","2","4","3","4","4","The tacticle bracelet was easy to wear , after some time it became abit uncomfrotable maybe with the moving alot as well , however it was not that bad. It took me some time to get used to the vibration but I think that once you get used to them they are clear for guiding.","It was fun task, but navigating the shelf at the start was bit hard since I have not seen any of its aspects. however after sometime i could navigate better and anticipate what fruit I will be grasping if for example I went down in the shelf then to  the left. Overall I felt comfortable and enjoyed the task.  ","",""
"2023/02/21 2:49:29 pm EET","2","4","5","1","5","5","1","5","3","3","5","5","2","5","4","5","5","The tactile bracelet was comfortable, I fairly quickly got used to it being on my hand and didn't take notice of it outside of when it was vibrating. The location of the vibrations was not always so easy to distinguish. I especially tended to get confused between the right and bottom vibrations. Also, every time the grasping vibration cue came, I had to do a double take because I would first start to go up, until I realized the vibration isn't continuous. Otherwise, the intensity of the vibrations was jarring the first time, but I very quickly got used to it.","The task itself was simple to follow. This is especially true of the verbal instruction condition. Sometimes it was easy to get lost in thought in between cues.","No",""
"2023/02/22 12:25:23 pm EET","2","5","5","2","5","4","1","5","4","1","5","5","4","4","5","4","4","It felt quite comfortable and was quite easy to follow the vibration instructions. ","Sometimes I was anticipating the “grasp” command as it became sort of a pattern, e.g. left-right-grasp. Maybe more random movements would add the “surprise” effect. ","","VP"
"2023/02/23 5:42:45 pm EET","4","5","5","1","5","5","1","4","5","1","5","5","4","5","5","5","3","It rested comfortably wrapped around my wrist. As soon as I started experience mild fatigue, left and top vibrations started to become perceptually similar. But that perceptual blending got reversed as soon as I noticed that I moved my hand in the wrong direction. 


","I would find it more convenient if the bracelet started to pulse-vibrate as soon as my hand is right above the object that I need to grasp. There was a bit of uncertainty as to the distance of the object from my hand as soon as I was instructed to grasp.

Something like fine or course vibrations to indicate the distance from the object could be helpful in creating more responsiveness.","Awesome work",""
"2023/02/23 5:51:18 pm EET","1","5","5","1","5","5","1","5","3","3","5","5","1","4","4","5","2","The bracelet was comfortable to wear and interact with. It actually helped in navigating my hand, so it was rather effective in its functioning. However, at some point, when the focus on the tactile sensations is lost, the vibrations get mixed and blended between each other that made it hard to distinguish them. ","The task itself was easy to understand and perform. The instructions were explained to me in a good manner, so I had a nice experience of participating in the experiment. One of the notable struggles that I experienced during the task was the involuntary moving of objects due to their light weight while trying to grasp them, so it took additional time to navigate oneself or give up on a trial. Additional head movements that were required during the experiment were quite unnatural and took some focus of attention from the main task. Despite this, I consider it as a nice experience.","",""
"2023/02/27 11:31:39 pm EET","1","4","5","1","5","5","2","4","2","3","5","4","2","4","5","4","5","Very comfortable. The bracelet and the stretchable support felt very stable on my wrist. The size of the vibrotactile units was nice, not too small, not too big, same with the intensity. The wires connecting the bracelet to the device are not noticeable during the task. I forgot about them.  ","I loved the task. I loved it because of the amount of attention required to postulate my best performance. It was simple methodologically but required a constant level of attention on the stimulation and the sensory channel selected. It has been a very intriguing experience because vision does define quite some of our world at the expensive of some salient cognitive effort. The task gave me the feeling that my cognitive capacity was (not intuitively) redistributed. It was almost a detox from heterogeneity, a guided meditation in which the focus is just on one hand. ","Great job with the implementation of the wrist band and nice experiment! ",""
"2023/02/28 3:39:34 pm EET","4","4","2","2","2","4","2","4","4","4","5","2","4","3","5","4","4","As my wrist is smaller than the average adult, I feel that the motor on the bracelet is quite large for me. This has led to confusion with some of the vibrating orders. Perhaps the vibration type could be varied to include sharper or more distinct vibrations.","I'm not sure if it's intentional, but as I continued to do the tasks, I became accustomed to the spatial location of the fruits, and began moving my hand with more impulsive movements","The enjoyable tactile sensation of the fruits made the experiment quite exciting. I am not sure of the exact experimental conditions, perhaps incorporating more complex combinations of instructions involving more than two movements (such as right-left-down) could make the experiment even more intriguing.",""
"2023/03/01 12:14:38 pm EET","2","5","3","3","4","5","1","5","5","2","5","5","4","4","5","4","5","","","",""
"2023/03/06 2:58:05 pm EET","1","1","5","1","5","5","1","5","4","2","5","5","3","4","4","4","5","The vibrations given by the bracelet were helpful for locating the objects. It was quite intuitive to use. I sometimes (tho in respect to all tries rarely) found it hard to distinguish between the top and right vibrator. I needed to focus to ""understand"" the commands of the bracelet however, I believe with more practice it would come easier. ","It was not hard or straining and honestly a bit fun. ","Really nice experiment leaders :))",""
