time,num_instructions,location,block,condition,success
5.020577999999890,3,1,1,tactile,success
1.7600346000001500,1,5,1,tactile,success
2.728923399999990,2,8,1,tactile,success
1.445331700000000,1,5,1,tactile,success
4.839116099999960,3,7,1,tactile,exFail
4.23145959999988,3,7,1,tactile,success
4.629369400000090,3,9,1,tactile,success
2.7874718000000500,2,6,1,tactile,success
4.352803499999940,3,7,1,tactile,success
4.239105300000120,3,rep_7,1,tactile,success
2.915789600000150,2,2,2,tactile,success
3.393478800000140,3,9,2,tactile,success
9.2167965000001,3,7,2,tactile,exFail
2.7261369000000300,2,6,2,tactile,success
3.1881499000001000,2,2,2,tactile,success
3.1493112000000600,2,4,2,tactile,success
2.7682592999999500,2,6,2,tactile,success
3.267306800000140,2,2,2,tactile,success
3.992925000000010,3,7,2,tactile,success
3.6505827000000900,3,rep_7,1,tactile,success
3.454021199999940,3,9,3,tactile,success
3.462504099999930,3,1,3,tactile,success
3.3311427999999500,2,8,3,tactile,exFail
2.810811199999990,2,6,3,tactile,success
1.6478085000001100,1,5,3,tactile,success
3.429384499999970,3,7,3,tactile,success
2.5600529000000700,2,6,3,tactile,success
4.165360000000190,3,1,3,tactile,success
2.706747299999960,2,8,3,tactile,success
2.7169781000000100,2,rep_8,1,tactile,success
2.8819630000000400,2,8,4,tactile,success
3.867387000000010,3,3,4,tactile,success
4.98383530000001,3,1,4,tactile,success
3.4441543000000400,2,2,4,tactile,success
3.3222336999999700,2,6,4,tactile,success
6.747388400000090,3,3,4,tactile,exFail
3.0197756999998500,2,4,4,tactile,success
3.199598599999950,2,8,4,tactile,success
2.77152430000001,2,8,4,tactile,success
4.313841499999850,3,rep_3,1,tactile,success
4.269304100000000,3,3,5,tactile,success
5.006133999999750,3,1,5,tactile,success
2.97695049999993,2,4,5,tactile,success
4.534799900000050,3,9,5,tactile,success
4.32224479999968,3,9,5,tactile,success
3.1916034000000800,2,6,5,tactile,success
4.3190724000001000,3,9,5,tactile,success
3.9744449999998300,2,2,5,tactile,success
2.7243023999999400,2,4,5,tactile,success
4.375424400000160,3,3,6,tactile,success
5.820937299999970,3,3,6,tactile,fail
2.703392800000070,2,7,6,tactile,fail
3.2191547999996100,2,4,6,tactile,success
4.038944999999790,1,2,6,tactile,fail
3.273559700000080,2,8,6,tactile,success
3.640986399999750,2,4,6,tactile,success
4.343444299999650,3,7,6,tactile,success
1.9539001000002800,1,5,6,tactile,success
4.6174080999999200,2,2,7,tactile,success
6.149341199999980,3,3,7,tactile,fail
1.802298399999930,1,5,7,tactile,success
3.091416400000070,2,6,7,tactile,success
5.51492589999998,2,1,7,tactile,fail
4.742625699999740,3,3,7,tactile,success
3.221491700000120,2,8,7,tactile,success
4.780116299999920,3,3,7,tactile,success
4.248006799999990,3,9,7,tactile,success
4.17612999999983,3,9,8,tactile,success
2.585341700000300,2,4,8,tactile,success
4.33851229999982,3,1,8,tactile,success
1.782469299999780,1,5,8,tactile,success
1.56137230000013,1,5,8,tactile,success
5.438898299999890,3,1,8,tactile,success
1.5225364000002600,1,5,8,tactile,success
4.292250200000130,1,4,8,tactile,exFail
4.193223000000220,2,2,8,tactile,success
2.9150142000003100,2,rep_4,1,tactile,success
