time,num_instructions,location,block,condition,success
4.228297199999815,3,9,1,auditory,success
3.9083292999998775,3,1,1,auditory,success
2.571585099999993,2,2,1,auditory,success
1.7942104000003383,1,5,1,auditory,success
3.7374457000000803,3,7,1,auditory,success
2.3957181000000674,2,2,1,auditory,success
3.6586041999998997,3,9,1,auditory,success
2.0619197999999415,2,2,1,auditory,success
2.2097450999999637,2,4,1,auditory,success
time,num_instructions,location,block,condition,success
4.228297199999815,3,9,1,auditory,success
3.9083292999998775,3,1,1,auditory,success
2.571585099999993,2,2,1,auditory,success
1.7942104000003383,1,5,1,auditory,success
3.7374457000000803,3,7,1,auditory,success
2.3957181000000674,2,2,1,auditory,success
3.6586041999998997,3,9,1,auditory,success
2.0619197999999415,2,2,1,auditory,success
2.2097450999999637,2,4,1,auditory,success
3.070762399999694,3,3,2,auditory,success
2.882620699999734,3,1,2,auditory,success
3.1208074999999553,3,9,2,auditory,success
2.2211919999999736,2,6,2,auditory,success
3.157445899999857,3,1,2,auditory,success
1.8097050000001218,2,4,2,auditory,success
2.024427800000012,2,6,2,auditory,success
2.0481956999997237,2,2,2,auditory,success
2.070888400000058,2,8,2,auditory,success
time,num_instructions,location,block,condition,success
4.228297199999815,3,9,1,auditory,success
3.9083292999998775,3,1,1,auditory,success
2.571585099999993,2,2,1,auditory,success
1.7942104000003383,1,5,1,auditory,success
3.7374457000000803,3,7,1,auditory,success
2.3957181000000674,2,2,1,auditory,success
3.6586041999998997,3,9,1,auditory,success
2.0619197999999415,2,2,1,auditory,success
2.2097450999999637,2,4,1,auditory,success
3.070762399999694,3,3,2,auditory,success
2.882620699999734,3,1,2,auditory,success
3.1208074999999553,3,9,2,auditory,success
2.2211919999999736,2,6,2,auditory,success
3.157445899999857,3,1,2,auditory,success
1.8097050000001218,2,4,2,auditory,success
2.024427800000012,2,6,2,auditory,success
2.0481956999997237,2,2,2,auditory,success
2.070888400000058,2,8,2,auditory,success
3.364132800000334,2,9,3,auditory,success
2.418521300000066,2,8,3,auditory,success
3.335997900000166,3,3,3,auditory,success
3.147527099999934,3,7,3,auditory,success
3.118539700000383,3,9,3,auditory,success
2.808594500000254,3,9,3,auditory,success
3.022803400000157,3,3,3,auditory,success
2.6556055999999444,3,9,3,auditory,success
1.0361668000000464,1,5,3,auditory,success
time,num_instructions,location,block,condition,success
4.228297199999815,3,9,1,auditory,success
3.9083292999998775,3,1,1,auditory,success
2.571585099999993,2,2,1,auditory,success
1.7942104000003383,1,5,1,auditory,success
3.7374457000000803,3,7,1,auditory,success
2.3957181000000674,2,2,1,auditory,success
3.6586041999998997,3,9,1,auditory,success
2.0619197999999415,2,2,1,auditory,success
2.2097450999999637,2,4,1,auditory,success
3.070762399999694,3,3,2,auditory,success
2.882620699999734,3,1,2,auditory,success
3.1208074999999553,3,9,2,auditory,success
2.2211919999999736,2,6,2,auditory,success
3.157445899999857,3,1,2,auditory,success
1.8097050000001218,2,4,2,auditory,success
2.024427800000012,2,6,2,auditory,success
2.0481956999997237,2,2,2,auditory,success
2.070888400000058,2,8,2,auditory,success
3.364132800000334,2,9,3,auditory,success
2.418521300000066,2,8,3,auditory,success
3.335997900000166,3,3,3,auditory,success
3.147527099999934,3,7,3,auditory,success
3.118539700000383,3,9,3,auditory,success
2.808594500000254,3,9,3,auditory,success
3.022803400000157,3,3,3,auditory,success
2.6556055999999444,3,9,3,auditory,success
1.0361668000000464,1,5,3,auditory,success
3.017551800000092,1,8,4,auditory,exFail
3.2686891999996988,3,7,4,auditory,success
